event,eventLabel,date,start_date,end_date,countryLabel,locationLabel,participantLabel,biggerWarInstanceLabel,smallerWarInstanceLabel,casualties,isReligious,isCivil
http://www.wikidata.org/entity/Q196409,Livonian Crusade,,,,,"Latvia, Estonia","Sweden, Livonian Brothers of the Sword, Semigallians, Livonian Order, Latgalians, Estonians, Denmark, Livonians, Curonians, Crusades, Selonians",Northern Crusades,"Siege of Tartu, Battle of Viljandi, Battle of Cēsis, Battle of Otepää, Battle of Ümera, Battle of Saule, Battle of Riga, Battle of Turaida, Battle of Garoza, Siege of Tallinn, Battle of Embūte, Battle of Memel (1257), Battle of Aizkraukle, Battle of Lehola, Battle of Karuse",,no,no
http://www.wikidata.org/entity/Q199955,Hundred Days,,1815-03-20T00:00:00Z,1815-07-08T00:00:00Z,France,,"Kingdom of Sardinia, United Kingdom of Great Britain and Ireland, Duchy of Nassau, United Kingdom of the Netherlands, Liechtenstein, Kingdom of Sicily, Grand Duchy of Tuscany, Kingdom of Naples, Portugal, Bourbon Restoration in France, Switzerland, Spain, Sweden, First French Empire, Duchy of Brunswick, Austrian Empire, Kingdom of Prussia, Russian Empire, Province of Hanover",Napoleonic Wars,"Minor campaigns of 1815, Battle of Ligny, Waterloo Campaign, Neapolitan War, Battle of La Suffel, Military mobilisation during the Hundred Days, Battle of Rocheserviere, Battle of Wavre, Battle of Rocquencourt, Battle of Quatre Bras, War of the Seventh  Coalition",,no,no
http://www.wikidata.org/entity/Q202161,Gallic War,,-0057-01-01T00:00:00Z,-0050-01-01T00:00:00Z,,Gaul,"Celtic Britons, Aquitani, Ancient Rome, Belgae, Germanic peoples, Iberians, Gauls",,"Battle of the Axona, Battle of Vosges, Battle of Cavillonum, Battle of Gergovia, Battle of Lutetia, Battle of Vernix, Battle of the Sabis, Battle of Bibracte, Siege of the Atuatuci, Battle of Octodurus, Avaricum, Battle of Vesontio (58 BC), Battle of Vingeanne, Uxellodunum, Battle of Magetobria, Battle of the Arar, Ambiorix's revolt, Caesar's invasions of Britain, Siege of Avaricum, Battle of the Semois River, Battle of Morbihan, Battle of Aduatuca (53 BC), Battle of Noviodunum (52 BC), Battle of the Sambre (54 BC), Siege of Uxellodunum, Siege of Namur, Battle of Alesia, Battle of the Saône",,no,no
http://www.wikidata.org/entity/Q202465,Uganda–Tanzania War,,1978-10-09T00:00:00Z,1979-06-03T00:00:00Z,,Uganda,"Palestine Liberation Organization, Uganda National Liberation Front, Uganda, People's Republic of Mozambique, Tanzania, history of Libya under Muammar Gaddafi",,"Fall of Kampala, Battle of Lukaya, Operation Dada Idi, Battle of Mutukula, Battle of Masaka",,no,no
http://www.wikidata.org/entity/Q202578,First Jewish-Roman War,,0066-01-01T00:00:00Z,0073-01-01T00:00:00Z,,Judaea,"Judean Free Government, Roman Empire",Jewish–Roman wars,"Siege of Gabara, Battle of Mount Gerizim, Siege of Machaerus, Siege of Japha, pillage of Ein Gedi, Siege of Gamala, Battle of Beth Horon, Battle of Joppa, Galilee campaign, Siege of Jerusalem, Siege of Gush Halav, Battle of Gabaon, Siege of Ascalon (67), Alexandria riot, Siege of Yodfat, Zealot Temple siege, Battle of Bethennabris, Battle of the Jordan River, Battle of Mount Tabor (67), Battle of Jerusalem (66), Siege of Masada, Capture of Tarichaea, Jerusalem riots of 66",,no,no
http://www.wikidata.org/entity/Q203824,Italo-Turkish War,1911-09-29T00:00:00Z,1911-09-29T00:00:00Z,1912-10-18T00:00:00Z,,Vilayet of Tripolitania,"Senussi, Idrisid Emirate of Asir, Kingdom of Italy, Ottoman Empire",Scramble for Africa,"Battle of Derna, Battle of Zanzur, Battle of Ain Zara, Battle of Kunfuda Bay, Battle of Kuwayfia, Battle of Bir Tabraz, Battle of Misrata, Battle of Tripoli, Battle of Tobruk, Battle of Beirut, Battle of Preveza, Battle of Sidi Bilal, First Italo-Senussi War, Battle of Rhodes",,no,no
http://www.wikidata.org/entity/Q207318,French Revolutionary Wars,,1792-04-20T00:00:00Z,1802-03-25T00:00:00Z,,Europe,"Kingdom of France, Kingdom of Sardinia, Kingdom of Thiruvithamkoor, Malta, Order of Hospitallers, Newfoundland Colony, Kingdom of Great Britain, Catholic and Royal Army, Helvetic Republic, list of historic states of Italy, Kingdom of Naples, Kingdom of Mysore, Kingdom of Portugal, Holy Roman Empire, United States of America, Saint-Domingue, Ottoman Empire, Dutch Republic, Émigré armies of the French Revolutionary Wars, Spanish Empire, French First Republic, Kingdom of Prussia, Russian Empire, Denmark–Norway","Coalition Wars, French Revolution","Battle of Castiglione, Peasants' War, Haitian Revolution, Battle of Martinique, Battle of the Pyramids, Action of 7 October 1795, War of the First Coalition, Martin's cruise of 1794, Flanders Campaign, Battle of Île Ronde, Action of 8 September 1796, Siege of Luxembourg, Montenotte Campaign, Action of 20 October 1793, Siege of Calvi, Battle of Peyrestortes, Battle of Villers-en-Cauchies, Sunda Strait campaign of January 1794, battle of Calliano, Battle of Quiévrain (1792), Croisière du Grand Hiver, Column of the Goddess, Action of 27 June 1798, Action of 5 May 1794, Battle of Mandora, Action of 7 May 1794, Battle of Verdun, Stecklikrieg, Revolt of Lyon against the National Convention, Action of 18 June 1793, Action of 19 January 1799, Siege of Alexandria, Action of 31 March 1800, Quasi-War, Invasion of Trinidad, Action of 22 August 1795, Battle of Tory Island, Campaigns of 1794 in the French Revolutionary Wars, Battle of the Malta Convoy, Battle of Groix, Siege of Dunkirk, Battle of Brécourt, Action of 6–7 April 1800, Battle of Mondovì, Battle of Würzburg, Action of 4 August 1800, Battle of Epierre, Siege of Namur (1792), Raid on Genoa, East Indies theatre of the French Revolutionary Wars, Battle of Rivoli, Action of 25 January 1797, Battle of Mas Deu, Action of 6 May 1801, Battle of Menin, Invasion of Curaçao, Battle of Friedberg, French invasion of Switzerland, Action of 28 February 1799, Raid on Dunkirk, Siege of Cairo, Macau Incident, Siege of Fort Julien, Battle of Ampfing, Battle of Genoa, Expédition d'Irlande, Battle of Muizenberg, Action of 23 April 1794, Battle of Lonato, Action of 9 February 1799, Action of 13 January 1797, Action of 14 December 1798, Action of 26 April 1797, Action of 30 June 1798, Battle of Vihiers, Siege of Roses, Action of 12 May 1796, Battle of Valmy, Battle of Tournay, Siege of Malta, Action of 31 May 1796, Cutting out of the Herminone, Battle of Borghetto, Atlantic campaign of May 1794, Action of 24 June 1801, Glorious First of June, Invasion of Corsica, Action of 10 April 1795, Action of 6 November 1794, Battle of Caldiero (1796), Battle of Perpignan, Second Battle of Kehl, Battle of Cembra, capture of Alexandria, Action of 30 May 1798, Action of 19 February 1801, Siege of Pondicherry, Action of 24 October 1798, Action of 6 February 1799, Battle of Rovereto, Battle of Rastatt, Battle of Mykonos, Cornwallis's Retreat, Action of 21 October 1794, Action of 16 May 1797, Action of 13 October 1796, Assault on Cadiz, Siege of Thionville, Mediterranean campaign of 1798, Battle of San Juan, Action of 18 June 1799, Action of 8 March 1795, Battle of Boxtel, Battle of Voltri, Preveza, Action of 16 October 1799, Battle of Sprimont, Action of 22 October 1793, Action of 31 July 1793, Battle of Verona, First Battle of Dego, Action of 18 August 1798, Second Battle of Algeciras, Battle of Ettlingen, Battle of Bergen, Second Battle of Abukir, West Indies Campaign (1793–1798), Battle of Neerwinden (1793), Battle of Wattignies, Algeciras Campaign, Action of 24 October 1793, Anglo-Spanish War, Battle of Beaumont, Battle of Truillas, Order of battle at the Battle of Stockach, Siege of Porto Ferrajo, First Battle of Algeciras, Bali Strait Incident, Battle of the Îles Saint-Marcouf, Frigate action of 29 May 1794, Raids on Boulogne, Battle of Hyères Islands, Battle of Mahé, Battle of the Raz de Sein, Atlantic raid of June 1796, Action of 19 December 1796, Campaigns of 1796 in the French Revolutionary Wars, Second Battle of Bassano, Battle of Port Louis, English Wars, Battle of Tarvis, Capture of Trincomalee, Battle of Camperdown, Action of 24 June 1795",,no,no
http://www.wikidata.org/entity/Q208261,Ionian Revolt,,-0498-01-01T00:00:00Z,-0492-01-01T00:00:00Z,,Anatolia,"Aeolis, Athens, Doric hexapolis, Eretria, Ionia, Caria, Cyprus, Achaemenid Empire",Greco-Persian Wars,"Battle of Lade, battle of Ephesus (498 BCE)",,no,no
http://www.wikidata.org/entity/Q214456,Philippine–American War,,1899-02-04T00:00:00Z,1902-07-02T00:00:00Z,,Philippines,"United States of America, First Philippine Republic",,"Battle of Calumpit, Battle of Manila, Battle of Cagayan de Misamis, Capture of Malolos, Battle of San Jacinto, Battle of Pagsanjan, Battle of Caloocan, Battle of Makahambus Hill, Battle of Malinta, Battle of Agusan Hill, Battle of Mabitac, Battle of Tirad Pass, Battle of Paye, Battle of Zapote River, Battle of Paete, Battle of Santo Tomas, Battle of Taraca, Second Battle of Caloocan, Battle of Marilao River, Battle of Pulang Lupa, Battle of Dolores River, Battle of the Visayas, Battle of Olongapo, Siege of Catubig, Battle of Lonoy, Moro Rebellion, Battle of Santa Cruz, Battle of Legazpi, Battle of Quingua, Balangiga massacre",,no,no
http://www.wikidata.org/entity/Q215112,Second Boer War,,1899-10-23T00:00:00Z,1902-05-31T00:00:00Z,,South Africa,"British Ceylon, Redvers Buller, Christiaan de Wet, Colony of New Zealand, Martinus Theunis Steyn, Orange Free State, Joseph Chamberlain, Koos de la Rey, Louis Botha, Robert Gascoyne-Cecil, 3rd Marquess of Salisbury, Piet Cronjé, Alfred Milner, 1st Viscount Milner, Canada, Piet Joubert, Schalk Willem Burger, British Empire, Paul Kruger, Australia, Frederick Roberts, 1st Earl Roberts, South African Republic, British Raj",military history of South Africa,"Battle of Ladysmith, Black Week, Battle of Sanna's Post, Battle of Leliefontein, Battle of Groenkop, Battle of Bothaville, Battle of Boshof, Battle of Elands River, Battle of Vaal Krantz, Battle of Stormberg, Battle of Talana Hill, Siege of Kimberley, Battle of Driefontein, Leliefontein massacre, Battle of Kraaipan, Relief of Ladysmith, Second Boer War concentration camps, Battle of the Tugela Heights, Battle of Groenkloof, Battle of Nooitgedacht, Battle of Graspan, Battle of Magersfontein, Siege of Mafeking, Battle of Diamond Hill, Battle of Belmont, Battle of Modder River, Battle of Bergendal, Battle of Colenso, Battle of Blood River Poort, Derdepoort massacre, Battle of Tweebosch, Battle of Bakenlaagte, Siege of Ladysmith, Battle of Spion Kop, Battle of Witpoort, Battle of Elandslaagte, Bloody Sunday, Battle of Poplar Grove, Battle of Rooiwal, Battle of Paardeberg",,no,no
