War URI,War Label
http://www.wikidata.org/entity/Q8961,Spanish reconquest of New Granada
http://www.wikidata.org/entity/Q12551,Hundred Years' War
http://www.wikidata.org/entity/Q12583,Spanish–American War
http://www.wikidata.org/entity/Q25857,War of Devolution
http://www.wikidata.org/entity/Q26013,War of 1812
http://www.wikidata.org/entity/Q26749,War of the Second Coalition
http://www.wikidata.org/entity/Q28365,Lamian War
http://www.wikidata.org/entity/Q29100,Arab–Byzantine wars
http://www.wikidata.org/entity/Q29122,First Anglo-Burmese War
http://www.wikidata.org/entity/Q29242,Georgian–Ossetian conflict
http://www.wikidata.org/entity/Q29269,First Chechen War
http://www.wikidata.org/entity/Q31301,Anglo-Turkish War
http://www.wikidata.org/entity/Q31307,Burmese–Siamese War (1765–67)
http://www.wikidata.org/entity/Q31880,Castille War
http://www.wikidata.org/entity/Q31944,Mahdist War
http://www.wikidata.org/entity/Q32929,War of the Austrian Succession
http://www.wikidata.org/entity/Q33143,Seven Years War
http://www.wikidata.org/entity/Q33745,Peloponnesian War
http://www.wikidata.org/entity/Q34103,Second Syrian War (260–253 BCE)
http://www.wikidata.org/entity/Q34145,Third Syrian War (246–241 BCE)
http://www.wikidata.org/entity/Q37643,Gulf War
http://www.wikidata.org/entity/Q39194,Spanish reconquest of Santo Domingo
http://www.wikidata.org/entity/Q40837,Anglo-Afghan Wars
http://www.wikidata.org/entity/Q46083,Franco-Prussian War
http://www.wikidata.org/entity/Q47985,Rus'–Byzantine War (1043)
http://www.wikidata.org/entity/Q48249,Falklands War
http://www.wikidata.org/entity/Q48883,Goguryeo–Sui War
http://www.wikidata.org/entity/Q49077,Six-Day War
http://www.wikidata.org/entity/Q49092,1948 Arab–Israeli War
http://www.wikidata.org/entity/Q49097,1948 Palestine war
http://www.wikidata.org/entity/Q49100,Yom Kippur War
http://www.wikidata.org/entity/Q49101,Suez Crisis
http://www.wikidata.org/entity/Q49103,1982 Lebanon War
http://www.wikidata.org/entity/Q49104,2006 Lebanon War
http://www.wikidata.org/entity/Q51650,People's Crusade
http://www.wikidata.org/entity/Q54434,War of Jenkins' Ear
http://www.wikidata.org/entity/Q58947,Paraguayan War
http://www.wikidata.org/entity/Q60489,Albanian–Venetian War
http://www.wikidata.org/entity/Q68969,Croatian War of Independence
http://www.wikidata.org/entity/Q74109,World War II in Albania
http://www.wikidata.org/entity/Q74298,Polish–Ottoman War of 1672–1676
http://www.wikidata.org/entity/Q74302,Polish–Ottoman War of 1633–34
http://www.wikidata.org/entity/Q74623,Great Turkish War
http://www.wikidata.org/entity/Q75626,First Macedonian War
http://www.wikidata.org/entity/Q75665,Second Macedonian War
http://www.wikidata.org/entity/Q75756,Second Congo War
http://www.wikidata.org/entity/Q76118,Third Macedonian War
http://www.wikidata.org/entity/Q80330,English Civil War
http://www.wikidata.org/entity/Q82664,Iran–Iraq War
http://www.wikidata.org/entity/Q83085,Soviet–Afghan War
http://www.wikidata.org/entity/Q87138,Greco-Turkish War (1919–1922)
http://www.wikidata.org/entity/Q94916,Second Italo-Ethiopian War
http://www.wikidata.org/entity/Q120843,Second Chechen War
http://www.wikidata.org/entity/Q122100,Continuation War
http://www.wikidata.org/entity/Q123070,Russo-Turkish War (1768–1774)
http://www.wikidata.org/entity/Q123210,Russo-Turkish War (1787–1792)
http://www.wikidata.org/entity/Q127751,Wars of the Roses
http://www.wikidata.org/entity/Q129124,Umayyad invasion of Gaul
http://www.wikidata.org/entity/Q129864,Indian Mutiny of 1857
http://www.wikidata.org/entity/Q134949,Winter War
http://www.wikidata.org/entity/Q146966,First Illyro-Roman War
http://www.wikidata.org/entity/Q151616,Great Northern War
http://www.wikidata.org/entity/Q151663,Revolt of the Comuneros
http://www.wikidata.org/entity/Q152004,War of the Pacific
http://www.wikidata.org/entity/Q152218,Nine Years' War
http://www.wikidata.org/entity/Q153650,Austro-Prussian War
http://www.wikidata.org/entity/Q154697,French and Indian War
http://www.wikidata.org/entity/Q154940,Lapland War
http://www.wikidata.org/entity/Q154981,Second Schleswig War
http://www.wikidata.org/entity/Q159950,Russo-Japanese War
http://www.wikidata.org/entity/Q163270,Second Thirty Years' War
http://www.wikidata.org/entity/Q163476,Ottoman–Safavid War
http://www.wikidata.org/entity/Q164432,Eighty Years' War
http://www.wikidata.org/entity/Q165136,Swabian War
http://www.wikidata.org/entity/Q166001,Scanian War
http://www.wikidata.org/entity/Q168442,Anglo-Spanish War
http://www.wikidata.org/entity/Q170314,Second Sino-Japanese War
http://www.wikidata.org/entity/Q170682,Gaza War
http://www.wikidata.org/entity/Q170850,Anglo-Zanzibar War
http://www.wikidata.org/entity/Q172068,National Liberation War of Macedonia
http://www.wikidata.org/entity/Q174904,Spartan-Persian war
http://www.wikidata.org/entity/Q177109,Slovak–Hungarian War
http://www.wikidata.org/entity/Q177918,First Balkan War
http://www.wikidata.org/entity/Q178687,First Sino-Japanese War
http://www.wikidata.org/entity/Q179077,Pontiac's War
http://www.wikidata.org/entity/Q179250,French invasion of Russia
http://www.wikidata.org/entity/Q179275,insurgency in Khyber Pakhtunkhwa
http://www.wikidata.org/entity/Q182865,War in Afghanistan
http://www.wikidata.org/entity/Q184183,Second Balkan War
http://www.wikidata.org/entity/Q184425,Pacific War
http://www.wikidata.org/entity/Q499229,Boeotian War
http://www.wikidata.org/entity/Q499909,Saxon Wars
http://www.wikidata.org/entity/Q510588,War of the Lombards
http://www.wikidata.org/entity/Q524189,Cologne War
http://www.wikidata.org/entity/Q524272,South-East Asian theatre of World War II
http://www.wikidata.org/entity/Q525097,Persian Expedition of 1796
http://www.wikidata.org/entity/Q528758,Mixtón War
http://www.wikidata.org/entity/Q551888,Wars of Alexander the Great
http://www.wikidata.org/entity/Q552373,Fourth Macedonian War
http://www.wikidata.org/entity/Q558423,Polish–Teutonic War of  1519–21
http://www.wikidata.org/entity/Q559069,British occupation of Manila
http://www.wikidata.org/entity/Q559181,First Silesian War
http://www.wikidata.org/entity/Q568387,Peasants' War
http://www.wikidata.org/entity/Q573472,Soviet-Bulgarian War
http://www.wikidata.org/entity/Q576338,Japanese invasions of Korea
http://www.wikidata.org/entity/Q580961,Agacher Strip War
http://www.wikidata.org/entity/Q582584,First Anglo-Sikh War
http://www.wikidata.org/entity/Q583223,Polish–Teutonic War of 1327–1332
http://www.wikidata.org/entity/Q597533,German–Polish War of 1002–18
http://www.wikidata.org/entity/Q598089,Uskok War
http://www.wikidata.org/entity/Q598774,Polish–Swedish War (1600–11)
http://www.wikidata.org/entity/Q601811,War of the Confederation
http://www.wikidata.org/entity/Q604204,Anglo-Spanish War of 1727–1729
http://www.wikidata.org/entity/Q607645,Bavarian War
http://www.wikidata.org/entity/Q609836,Portuguese Colonial War
