event,eventLabel,date,start_date,end_date,countryLabel,locationLabel,participantLabel,biggerWarInstanceLabel,smallerWarInstanceLabel,casualties,isReligious,isCivil
http://www.wikidata.org/entity/Q184637,Ten Years' War,1868-10-10T00:00:00Z,1868-10-10T00:00:00Z,1878-01-01T00:00:00Z,,Cuba,"Spain under the Restoration, Ejército Libertador Cubano",history of Cuba,"Battle of Las Guásimas, Jagüey Grande uprising, Hornet incident, Virginius Affair, Battle of Pino de Baire",,no,no
http://www.wikidata.org/entity/Q185729,War on Terror,,2001-09-11T00:00:00Z,,,,"Turkistan Islamic Party, People's Republic of China, Russia, Islamic State, United States of America, Al-Qaeda, Taliban, United Kingdom, France",,"insurgency in Khyber Pakhtunkhwa, Islamist insurgency in the Sahel, Chenagai airstrike, Colombian conflict, Operation Herrick, Operation Active Endeavour, Iraq War, Afghanistan conflict, War in Afghanistan, drone strikes in Yemen, Sectarian violence in Pakistan, North Korea–United States relations, Operation Zarb-e-Azb, Operation Enduring Freedom, Iraqi conflict, Insurgency in the Maghreb (2002–), Operation Arabian Knight, Operation Phantom Linebacker, Operation Enduring Freedom – Horn of Africa, drone strikes in Pakistan, War in Somalia (2006–2009), Operation Juniper Shield, Operation Able Rising Force, Operation Able Warrior, Operation Enduring Freedom – Philippines, Operation Neptune Spear, 2007 Lebanon conflict",,no,no
http://www.wikidata.org/entity/Q186284,Polish–Soviet War,1920-10-18T00:00:00Z,1919-02-01T00:00:00Z,1921-03-01T00:00:00Z,,Central and Eastern Europe,"Second Polish Republic, Russian Soviet Federative Socialist Republic, Lithuanian–Byelorussian Soviet Socialist Republic, Byelorussian Soviet Socialist Republic, Polish Socialistic Soviet Republic, Ukrainian Soviet Socialist Republic",Russian Civil War,"Battle of Ostrołęka, Battle of Dytiatyn, Battle of the Wkra, Battle of Sejny, Battle of Warsaw, Battle of Cyców, Battle of Lwów, Kyiv offensive, Battle of Głębokie, Battle of Kock, Battle of Ossów, Operation Minsk, Battle of Kobryń, Battle of Prużany, Battle of Koziatyn, Battle of Zadwórze, Battle of Skorodno, Polish–Soviet War in 1919, Battle of Bystryk, Battle of Daugavpils, Battle of the Niemen River, Battle of Letychiv, Bitwa o przedmoście warszawskie, Battle of Boryspil, Battle of Nasielsk, Battle of Radzymin, Battle of Czarnobyl, Battle of Dęblin and Mińsk Mazowiecki, Battle of Żytomierz, Battle of Lida, First Battle of Grodno, Fights for Wilno (1918-1919), Battle of Bereza Kartuska, Battle of Komarów, Battle of Białystok, Vilna offensive, Battle of Hrebionka, Battle of Wołodarka",,no,no
http://www.wikidata.org/entity/Q186336,Dutch Revolt,1568-01-01T00:00:00Z,1568-01-01T00:00:00Z,1648-01-01T00:00:00Z,,,"Dutch Republic, Spanish Empire",,"Siege of Lingen, Battle of Lillo, Taking of Diest",,no,no
http://www.wikidata.org/entity/Q189266,Eastern Front,,1941-06-22T00:00:00Z,"1955-01-21T00:00:00Z, 1945-05-07T00:00:00Z",Soviet Union,"Northern Europe, Eastern Europe, Balkans, Soviet Union, Europe, Central Europe","Yugoslav Partisans, Nazi Germany, Finland, Kingdom of Italy under Fascism, Soviet Union, Hungary, Allies of the Second World War, Slovak Republic, Kingdom of Romania",Eastern European theatre of World War II,"Soviet air strikes on Berlin, Tartu Offensive, Continuation War, Battle of the Oder–Neisse, Operation München, Battle of Bautzen, Battle of Bryansk, Battle of Nevel (1943), Battle of Kiev (1943), Operation Gallop, Operation Bagration, Battle of Lenino, Nagykanizsa–Körmend Offensive, Donbass Strategic Offensive (August 1943), Siege of Breslau, Siege of Odesa 1941, Battle of Moscow, Siege of Leningrad, Battle of Smolensk, Anti-Soviet resistance by the Ukrainian Insurgent Army, Second Battle of Kharkov, Crimean Campaign, Battle of the Dnieper, Battles of Rzhev, Vistula–Oder Offensive, Petsamo–Kirkenes Offensive, Northern Finland in the offensive phase of the Continuation War in 1941, Operation Barbarossa, Lvov–Sandomierz Offensive, Battle for Leningrad, Leningrad–Novgorod Offensive, Siege of Sevastopol, Bombing of Moscow in 1941, Battle of Kursk, Nemmersdorf massacre, First Battle of Kharkov, Moonsund Landing Operation, Battle for Narva (1944), Ol′shanskiy amphibious landing, Roslavl–Novozybkov Offensive, Battle of Belgorod, Nevsky Pyatachok & Nevskaya Dubrovka, Battle of Rivne, Baltic Offensive, Operation Büffel, Operation Edelweiss, Action of 26 June 1941, Battle of Kalach, Defense of the Adzhimushkay quarry, Hunger Plan, Bratislava-Brno Offensive, Axis and Soviet air operations during Operation Barbarossa, Leningrad Front, Battle of Lepel, Barvenkovo–Lozovaya offensive, Battle of Romania, Baltic Operation, Battle of Radzymin, Jassy–Kishinev Offensive, Defense of Borisov, Rostov Defensive Operation, Battle of Sukho Island, Yevpatoria assault, Battle of Tula, Stalin's ten blows, Vyazemsky operation, Battle of Memel, Defense of Kalinin, Kozelsk Offensive, Danube Delta Campaign, Mirgorod direction offensive, Dnieper–Carpathian Offensive, Operation Zauberflöte, German Instrument of Surrender, Battle of Raseiniai, Battle of Berlin, Battle of Sokolovo, Sinyavino Heights, Voronezh–Kharkov Offensive, Moravia–Ostrava offensive, Operation Rail War, East Pomeranian Offensive, Crimean Offensive, Operation Kutuzov, Battle of the Kerch Peninsula, First Jassy–Kishinev Offensive, Baltic Sea campaigns, Operation Silver Fox, Case Blue, Uman–Botoşani Offensive, Battle of Studzianki, Vienna Offensive, Battle of Nerva Island, Battle of the Seelow Heights, Tula offensive operation, Third Battle of Kharkov, Soviet Airstrike Against Berlin in 1941, Battle of the Caucasus, Battle of Rostov, Battle of the Sea of Azov, Arctic naval operations of World War II, Donbass Strategic Offensive, Defense of Brest Fortress, Frontier battles of Operation Barbarossa (1941), Mozdok-Malgobek Operation, Black Sea campaigns, Narva Offensive (18–24 March 1944), War memorials in Radvaň nad Dunajom, Battle of Hanko, Budapest Offensive, Battle of Debrecen, Ostrogozhsk–Rossosh Offensive, Attack of the U-209 on the convoy near Matveyev Island, Kerch-Feodosia Landing Operation, Battle of the Dukla Pass, Heiligenbeil Pocket, Battle of the Dniestr River Crossing, Operation Wirbelwind, Kholm Pocket",,no,no
http://www.wikidata.org/entity/Q190029,Kosovo War,1998-02-01T00:00:00Z,1998-02-27T00:00:00Z,1999-06-11T00:00:00Z,,Kosovo,"Netherlands, Spain, Czech Republic, Canada, Belgium, Kosovo Liberation Army, France, Turkey, Albania, Norway, Germany, Iceland, Poland, Denmark, Portugal, Hungary, Italy, United States of America, Luxembourg, United Kingdom, Federal Republic of Yugoslavia",Yugoslav Wars,"Meja massacre, Izbica massacre, Albania–Yugoslav border incident, Attack on Orahovac, Battle of Podujevo, Battle of Junik, April 23, 1998 Albanian–Yugoslav border ambush, Battle of Glodjane, July 18, 1998 Albanian–Yugoslav border clashes, Battle of Belaćevac Mine, Battle of Lodja, December 3, 1998 Albanian–Yugoslav border clash, NATO bombing of Yugoslavia, Meja ambush, Attack on Prekaz, Likoshane and Qirez massacre, December 14, 1998 Albanian–Yugoslav border ambush, Operation Echo",,no,no
http://www.wikidata.org/entity/Q190758,War in Darfur,2003-02-26T00:00:00Z,2003-02-26T00:00:00Z,,Sudan,Darfur,"Sudan Revolutionary Front, Janjaweed, Sudanese Awakening Revolutionary Council, Sudan, African Union – United Nations Hybrid Operation in Darfur",,"Darfur genocide, Raids on Haskanita, Battle of Foro Baranga, 2008 attack on Omdurman and Khartoum",,no,no
http://www.wikidata.org/entity/Q191282,First Opium War,1839-01-01T00:00:00Z,1839-03-18T00:00:00Z,1842-08-29T00:00:00Z,,People's Republic of China,"Qing dynasty, United Kingdom of Great Britain and Ireland","Opium Wars, timeline of the Qing dynasty","Battle of Chuenpee, Battle of Canton (March 1841), Battle of Chinkiang, Battle of Whampoa, Battle of the Barrier, Battle of Chapoo, Battle of Chinhai, Battle of Woosung, Battle of Ningpo, Battle of Canton (May 1841), Nerbudda incident, Battle of the Bogue, Second Battle of Chuenpee, Battle of Da'an, Battle of Amoy, Battle of Tsekee, Battle of First Bar, Battle of Kowloon, Capture of Chusan",,no,no
http://www.wikidata.org/entity/Q194378,Third Servile War,,-0072-01-01T00:00:00Z,-0070-01-01T00:00:00Z,,Italian Peninsula,"Ancient Rome, Ganicus, Oenomaus, Spartacus, Crixus",Servile Wars,"Battle of Picenum, Battle of the Crassus' Wall, Battle of Cantenna, Battle of Mount Gargano, Battle of the Silarius River, battle of Modena (72 BCE), Battle of Mount Vesuvius",,no,no
http://www.wikidata.org/entity/Q195378,Anglo-Nepalese War,1814-11-01T00:00:00Z,1814-01-01T00:00:00Z,1816-01-01T00:00:00Z,,Kingdom of Nepal,"Kingdom of Nepal, East India Company, Garhwal Kingdom, Kingdom of Sikkim, Patiala State",,"Battle of Nalapani, Battle of Jit Gadhi, Battle of Jaithak",,no,no
